data_compra;id_marca;vendas;valor_venda;nome;;id_marca;marca;;Qual ve’culo gerou a maior e menor receita?;
01/01/2022;1;40;29000;Mobi;;1;Fiat;;;
01/01/2022;1;2;49000;argo;;2;Volkswagen;;;
01/01/2022;1;3;19000;Uno;;3;Kia;;Mobi;14747000
01/01/2022;2;35;35000;Up;;4;Peugeot ;;Up;14368000
01/01/2022;3;42;32000;Picanto;;5;Toyota;;Picanto;13243000
01/01/2022;2;2;40000;Gol;;6;Nissan;;Forester;9800000
01/01/2022;7;4;60000;Lancer;;7;Mitsubishi;;208;7425000
01/01/2022;2;1;35000;Kombi;;8;Subaru;;Corolla;4368000
01/01/2022;9;2;45200;onix;;9;Chevrolet ;;WRX;3750000
01/01/2022;10;1;270000;E-J7;;10;JaC Motors;;Pajero;2680000
01/01/2022;11;5;70000;Captur;;11;Renault;;L200;2580000
01/02/2022;1;1;8000;Palio;;;;;onix;1418400
01/02/2022;2;40;35000;Up;;;;;XV;1280000
01/02/2022;1;52;29000;Mobi;;;;;Brz;1200000
01/02/2022;3;30;36000;Picanto;;;;;Yaris;1125000
01/02/2022;5;15;45000;Yaris;;;;;Lancer;990000
01/02/2022;6;2;28000;March;;;;;Clio;979000
01/02/2022;7;7;240000;L200;;;;;E-JS1;870000
01/02/2022;2;6;30000;Gol;;;;;March;601000
01/02/2022;3;4;41000;Cerato;;;;;2008;570000
01/02/2022;10;6;145000;E-JS1;;;;;Duster;460000
01/02/2022;11;3;60000;Duster;;;;;Sandero;374000
01/03/2022;1;1;10000;Uno;;;;;Saveiro;360000
01/03/2022;2;30;35000;Up;;;;;Captur;350000
01/03/2022;3;25;145000;Picanto;;;;;Cronos;320000
01/03/2022;4;20;79000;208;;;;;Gol;288000
01/03/2022;1;30;30000;Mobi;;;;;E-J7;270000
01/03/2022;2;1;28000;Gol;;;;;Cerato;254000
01/03/2022;7;1;75000;Lancer;;;;;Sandero RS;240000
01/03/2022;8;2;300000;Forester;;;;;Uno;191000
01/03/2022;9;3;45000;onix;;;;;T-Cross;180000
01/03/2022;10;5;25000;J5;;;;;J2;165000
01/03/2022;11;1;30000;Sandero;;;;;argo;154000
01/04/2022;1;40;28000;Mobi;;;;;Kombi;125000
01/04/2022;2;45;30000;Up;;;;;J5;125000
01/04/2022;3;30;26000;Picanto;;;;;Eclipse;124000
01/04/2022;4;25;85000;208;;;;;Jetta;120000
01/04/2022;1;1;12000;Palio;;;;;Polo;99000
01/04/2022;6;5;30000;March;;;;;Rio;89000
01/04/2022;7;1;124000;Eclipse;;;;;206;72000
01/04/2022;8;4;320000;XV;;;;;Palio;35000
01/04/2022;2;1;99000;Polo;;;;;307;19000
01/04/2022;10;1;14000;J2;;;;;;
01/04/2022;11;5;25000;Clio;;;;;;
01/05/2022;1;50;25000;Mobi;;;;;;
01/05/2022;2;45;29000;Up;;;;;;
01/05/2022;3;35;19000;Picanto;;;;;;
01/05/2022;1;2;28000;argo;;;;;;
01/05/2022;5;3;35000;Yaris;;;;;;
01/05/2022;6;7;22000;March;;;;;;
01/05/2022;2;2;90000;T-Cross;;;;;;
01/05/2022;8;4;320000;Forester;;;;;;
01/05/2022;9;3;40000;onix;;;;;;
01/05/2022;10;2;12000;J2;;;;;;
01/05/2022;11;5;18000;Clio;;;;;;
01/06/2022;1;45;26000;Mobi;;;;;;
01/06/2022;2;35;30000;Up;;;;;;
01/06/2022;3;30;20000;Picanto;;;;;;
01/06/2022;4;20;78000;208;;;;;;
01/06/2022;1;2;20000;Uno;;;;;;
01/06/2022;6;3;23000;March;;;;;;
01/06/2022;7;8;160000;Pajero;;;;;;
01/06/2022;1;4;80000;Cronos;;;;;;
01/06/2022;9;8;42000;onix;;;;;;
01/06/2022;10;1;13000;J2;;;;;;
01/06/2022;11;3;80000;Sandero RS;;;;;;
01/07/2022;1;40;32000;Mobi;;;;;;
01/07/2022;2;35;35000;Up;;;;;;
01/07/2022;3;38;18000;Picanto;;;;;;
01/07/2022;4;6;80000;2008;;;;;;
01/07/2022;5;20;140000;Corolla;;;;;;
01/07/2022;2;1;120000;Jetta;;;;;;
01/07/2022;7;3;75000;Lancer;;;;;;
01/07/2022;8;15;250000;WRX;;;;;;
01/07/2022;9;3;55000;onix;;;;;;
01/07/2022;10;4;10000;J2;;;;;;
01/07/2022;11;8;35000;Duster;;;;;;
01/08/2022;1;25;35000;Mobi;;;;;;
01/08/2022;2;20;38000;Up;;;;;;
01/08/2022;3;22;33000;Picanto;;;;;;
01/08/2022;4;10;78000;208;;;;;;
01/08/2022;5;10;14000;Corolla;;;;;;
01/08/2022;6;1;22000;March;;;;;;
01/08/2022;7;3;300000;L200;;;;;;
01/08/2022;2;6;60000;Saveiro;;;;;;
01/08/2022;9;4;45000;onix;;;;;;
01/08/2022;10;1;12000;J2;;;;;;
01/08/2022;11;4;32000;Clio;;;;;;
01/09/2022;1;20;34000;Mobi;;;;;;
01/09/2022;2;21;45000;Up;;;;;;
01/09/2022;3;18;35000;Picanto;;;;;;
01/09/2022;4;1;19000;307;;;;;;
01/09/2022;5;4;120000;Corolla;;;;;;
01/09/2022;6;2;30000;March;;;;;;
01/09/2022;7;3;70000;Lancer;;;;;;
01/09/2022;8;5;240000;Brz;;;;;;
01/09/2022;9;4;38000;onix;;;;;;
01/09/2022;10;1;10000;J2;;;;;;
01/09/2022;11;1;32000;Sandero;;;;;;
01/10/2022;1;15;60000;Mobi;;;;;;
01/10/2022;2;17;54000;Up;;;;;;
01/10/2022;3;19;42000;Picanto;;;;;;
01/10/2022;4;6;12000;206;;;;;;
01/10/2022;5;2;60000;Yaris;;;;;;
01/10/2022;2;2;45000;Kombi;;;;;;
01/10/2022;7;3;80000;Lancer;;;;;;
01/10/2022;8;10;360000;Forester;;;;;;
01/10/2022;9;1;40000;onix;;;;;;
01/10/2022;10;2;14000;J2;;;;;;
01/10/2022;11;6;36000;Clio;;;;;;
01/11/2022;1;25;64000;Mobi;;;;;;
01/11/2022;2;26;58000;Up;;;;;;
01/11/2022;3;30;46000;Picanto;;;;;;
01/11/2022;4;15;92000;208;;;;;;
01/11/2022;5;6;158000;Corolla;;;;;;
01/11/2022;6;3;30000;March;;;;;;
01/11/2022;1;2;42000;Uno;;;;;;
01/11/2022;3;1;89000;Rio;;;;;;
